id,query,expected_intent,allowed_cards,notes
1,"I am spending Rs 50,000 on flights. Which card should I use?",single_transaction,Axis Atlas|SBI Cashback,"~5% both; miles vs cashback"
2,"I am booking a Rs 50,000 domestic flight. I have Axis Atlas, HDFC Diners Club Black, and SBI Cashback. Which card?",single_transaction,Axis Atlas|SBI Cashback,"restricted to 3 owned cards"
3,"I am paying Rs 25,000 insurance premium. Which card should I use?",single_transaction,,"insurance excluded on most; mention exclusions"
4,"Which card is best for rent payment?",single_transaction,,"rent excluded on most cards"
5,"I am spending Rs 30,000 on fuel. Best card?",single_transaction,,"fuel excluded widely"
6,"I have a Rs 80,000 hotel booking. Which card gives the most?",single_transaction,Axis Atlas,"hotels = travel accelerated on Atlas"
7,"Best card for Rs 20,000 dining spend?",single_transaction,,"dining category"
8,"I will spend Rs 15,000 on groceries. Which card?",single_transaction,,"groceries category"
9,"Rs 60,000 of online shopping — which card wins?",single_transaction,SBI Cashback,"5% online cashback (cap 5000)"
10,"I spend Rs 1,00,000 on hotels this month. Which card should I use?",single_transaction,Axis Atlas,"large hotel spend"
11,"My monthly spends are Rs 30,000 dining, Rs 40,000 travel, Rs 20,000 groceries, Rs 15,000 utilities. Suggest card-wise allocation.",monthly_optimization,,"per-category allocation"
12,"Allocate my monthly spends: Rs 50,000 flights, Rs 25,000 online, Rs 10,000 fuel.",monthly_optimization,,"fuel excluded; per-category"
13,"I have 40,000 Axis Atlas points. Should I transfer to hotel or airline partners?",transfer,,"transfer; may clarify/approve"
14,"I have 80,000 points. Tell me how to transfer them for maximum hotel value.",transfer,,"transfer w/ approval gate"
15,"Compare Axis Atlas and HDFC Infinia for travel.",comparison,,"comparison intent"
16,"Which is better for flights: Axis Atlas or SBI Cashback?",comparison,Axis Atlas|SBI Cashback,"comparison of two"
17,"I want to pay a Rs 40,000 electricity bill. Which card?",single_transaction,,"utilities excluded on several"
18,"Rs 2,00,000 online spend this month on SBI Cashback — how much cashback?",single_transaction,SBI Cashback,"monthly cap Rs 5000 should apply"
19,"I have Axis Atlas and value hotel points. Rs 70,000 hotel spend — which card?",single_transaction,Axis Atlas,"preference hotel points"
20,"Rs 50,000 flight — I only have SBI Cashback and Amex Platinum Travel. Which?",single_transaction,SBI Cashback,"SBI 5% beats Amex 1%"
21,"What is the reward rate for education fee payment?",single_transaction,,"likely insufficient/excluded info"
22,"Best card for Rs 90,000 travel booking optimizing airline miles?",single_transaction,Axis Atlas,"travel + miles preference"
