query,expected_card
"Axis Atlas flight travel reward accelerated miles",Axis Atlas
"HDFC Diners Club Black SmartBuy 10X reward points",HDFC Diners Club Black
"HDFC Infinia reward points cap SmartBuy",HDFC Infinia
"American Express Platinum Travel membership rewards milestone Taj voucher",American Express Platinum Travel
"SBI Cashback 5% online cashback cap",SBI Cashback
"Axis Atlas transfer partners airline hotel EDGE Miles",Axis Atlas
"SBI Cashback rent fuel excluded no cashback",SBI Cashback
"Amex Platinum Travel spend milestone bonus points",American Express Platinum Travel
"HDFC Infinia annual fee waiver spend",HDFC Infinia
"Axis Atlas exclusions rent fuel insurance utilities",Axis Atlas
